race,ideology
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,1
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,2
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
hispanic,3
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
